H17,,,,,,,,,,
hard,2,3,4,5,6,7,8,9,10,A
4,h,h,h,h,h,h,h,h,h,h
5,h,h,h,h,h,h,h,h,h,h
6,h,h,h,h,h,h,h,h,h,h
7,h,h,h,h,h,h,h,h,h,h
8,h,h,h,h,h,h,h,h,h,h
9,h,h,h,h,d,h,h,h,h,h
10,d5,d5,d,d,d,d4,d3,h,h,h
11,d4,d5,d5,d5,d5,d4,d4,d4,d3,d3
12,h,h,h,h,h,h,h,h,h,h
13,h,h,h,h,s4*,h,h,h,h,h
14,h,h,s4*,s5',"s6""",h,h,h,h,h
15,s4*,s5',s6,s6,s,h,h,h,h,h
16,s6,s6,s6,s,s,h,h,h,h,rh
17,s,s,s,s,s,s,s6,s6,s6,rh
18,s,s,s,s,s,s,s,s,s,s
19,s,s,s,s,s,s,s,s,s,s
20,s,s,s,s,s,s,s,s,s,s
21,s,s,s,s,s,s,s,s,s,s
,,,,,,,,,,
,,,,,,,,,,
soft,2,3,4,5,6,7,8,9,10,A
12,h,h,h,h,h,h,h,h,h,h
13,h,h,h,h,h,h,h,h,h,h
14,h,h,h,h,h,h,h,h,h,h
15,h,h,h,h,d4,h,h,h,h,h
16,h,h,h,d3,d4,h,h,h,h,h
17,h,h,d3,d4,d5,s,s6,h,h,h
18,s4,s4,d4,d5,d6,s6,s4,h,h,h
19,s,s,s,s,s,s,s,s,s6,s6
20,,,,,,,,,,
21,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
pair,2,3,4,5,6,7,8,9,10,A
"2,2",p,p,p,p,p,p,p,h,h,h
"3,3",p,p,p,p,p,p,p,h,h,h
"4,4",,,,,,,,,,
"5,5",,,,,,,,,,
"6,6",h,h,p,p,p,h,h,h,h,h
"7,7",p,p,p,p,p,p$,h,h,h,h
"8,8",p,p,p,p,p,p,p,p,p,r
"9,9",s,p,p,p,p,s,p,p,s,s
"A,A",p,p,p,p,p,p,p,p,p,p
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S17,,,,,,,,,,
hard,2,3,4,5,6,7,8,9,10,A
4,h,h,h,h,h,h,h,h,h,h
5,h,h,h,h,h,h,h,h,h,h
6,h,h,h,h,h,h,h,h,h,h
7,h,h,h,h,h,h,h,h,h,h
8,h,h,h,h,h,h,h,h,h,h
9,h,h,h,h,d4,h,h,h,h,h
10,d5,d5,d,d,d,d4,d3,h,h,h
11,d4,d5,d5,d5,d5,d4,d4,d4,d3,d3
12,h,h,h,h,h,h,h,h,h,h
13,h,h,h,h,h,h,h,h,h,h
14,h,h,s4*,s5*,s4*,h,h,h,h,h
15,s4*,s5*,"s5""",s6,"s6""",h,h,h,h,h
16,s5,s6,s6,s,s,h,h,h,h,rh
17,s,s,s,s,s,s,s6,s6,s6,rh
18,s,s,s,s,s,s,s,s,s,s
19,s,s,s,s,s,s,s,s,s,s
20,s,s,s,s,s,s,s,s,s,s
21,s,s,s,s,s,s,s,s,s,s
,,,,,,,,,,
,,,,,,,,,,
soft,2,3,4,5,6,7,8,9,10,A
12,h,h,h,h,h,h,h,h,h,h
13,h,h,h,h,h,h,h,h,h,h
14,h,h,h,h,h,h,h,h,h,h
15,h,h,h,h,h,h,h,h,h,h
16,h,h,h,h,d4,h,h,h,h,h
17,h,h,d3,d4,d5,s,s6,h,h,h
18,s4,s4,d4,d5,d6,s6,s4,h,h,h
19,s,s,s,s,s,s,s,s,s6,s
20,s,s,s,s,s,s,s,s,s7,s
21,s,s,s,s,s,s,s,s,s8,s
,,,,,,,,,,
,,,,,,,,,,
pair,2,3,4,5,6,7,8,9,10,A
"2,2",p,p,p,p,p,p,p,h,h,h
"3,3",p,p,p,p,p,p,p,h,h,h
"4,4",,,,,,,,,,
"5,5",,,,,,,,,,
"6,6",h,h,p,p,p,h,h,h,h,h
"7,7",p,p,p,p,p,p$,h,h,h,h
"8,8",p,p,p,p,p,p,p,p,p,r
"9,9",s,p,p,p,p,s,p,p,s,s
"A,A",p,p,p,p,p,p,p,p,p,p
,,,,,,,,,,
,,,,,,,,,,
"h17, rd",,,,,,,,,,
,,,,,,,,,,
has not,2,3,4,5,6,7,8,9,10,A
5,h,h,h,h,d,h,h,h,h,h
6,h,h,h,h,d,h,h,h,h,h
7,h,h,h,h,d,h,h,h,h,h
8,h,h,h,d,d,h,h,h,h,h
9,h,d4,d,d,d,h,h,h,h,h
10,d5,d5,d,d,d,d,d5,h,h,h
11,d4,d5,d5,d5,d5,d5,d5,d4,d3,d3
12,h,h,h,h,h,h,h,h,h,h
13,h,h,h,h,s4*,h,h,h,h,h
14,h,h,s4*,s5',"s6""",h,h,h,h,h
15,s4*,s5',s6,s6,s,h,h,h,h,h
16,s6,s6,s6,s,s,h,h,h,h,rh
17,s,s,s,s,s,s6,s6,s6,s6,rh
"A,2",h,d3,d,d,d,h,h,h,h,h
"A,3",h,d3,d4,d,d,h,h,h,h,h
"A,4",h,h,d4,d4,d5,h,h,h,h,h
"A,5",h,h,d3,d4,d5,h,h,h,h,h
"A,6",h,h,d3,d4,d5,h,h,h,h,h
"A,7",s4,s4,d4,d5,d6,s6,s4,h,h,h
"A,8",s,s,s,s,s,s,s,s,s,s
"2,2",p,p,p,p,p,p,p,h,h,h
"3,3",p,p,p,p,p,p,p,h,h,h
"6,6",h,h,p,p,p,h,h,h,h,h
"7,7",p,p,p,p,p,p$,h,h,h,h
"8,8",p,p,p,p,p,p,p,p,p,r
"9,9",s,p,p,p,p,s,p,p,s,s
"A,A",p,p,p,p,p,p,p,p,p,p
,,,,,,,,,,
,,,,,,,,,,
has,,,,,,,,,,
hard,2,3,4,5,6,7,8,9,10,A
6,s,d,d,d,d,d,r,r,r,r
7,d,d,d,d,d,d,r,r,r,r
8,d,d,d,d,d,d,d,d,r,r
9,d,d,d,d,d,d,d,d,d,d
10,d,d,d,d,d,d,d,d,d,d
11,d,d,d,d,d,d,d,d,d,d
12,s,s,s,s,s,d,d,r,r,r
13,s,s,s,s,s,s,r,r,r,r
14,s,s,s,s,s,s,r,r,r,r
15,s,s,s,s,s,s,r,r,r,r
16,s,s,s,s,s,s,r,r,r,r
17,s,s,s,s,s,s,s,s,s,r
18,s,s,s,s,s,s,s,s,s,s
19,s,s,s,s,s,s,s,s,s,s
20,s,s,s,s,s,s,s,s,s,s
21,s,s,s,s,s,s,s,s,s,s
,,,,,,,,,,
,,,,,,,,,,
soft,2,3,4,5,6,7,8,9,10,A
13,d,d,d,d,d,d,d,d,d,d
14,d,d,d,d,d,d,d,d,d,d
15,d,d,d,d,d,d,d,d,d,d
16,d,d,d,d,d,d,d,d,d,d
17,d,d,d,d,d,d,d,d,d,d
18,s,s,d,d,d,s,s,s,s,s
19,s,s,s,s,s,s,s,s,s,s
20,s,s,s,s,s,s,s,s,s,s
21,s,s,s,s,s,s,s,s,s,s